"","sentiment"
"1","No"
"2","Yes"
"3","No"
"4","Yes"
"5","No"
"6","No"
"7","No"
"8","Yes"
"9","Yes"
"10","No"
"11","No"
"12","No"
"13","No"
"14","No"
"15","Yes"
"16","No"
"17","Yes"
"18","Yes"
"19","No"
"20","Yes"
"21","Yes"
"22","No"
"23","No"
"24","No"
"25","Yes"
"26","No"
"27","No"
"28","No"
"29","Yes"
"30","Yes"
"31","No"
"32","No"
"33","Yes"
"34","No"
"35","Yes"
"36","No"
"37","No"
"38","Yes"
"39","Yes"
"40","Yes"
"41","Yes"
"42","Yes"
"43","Yes"
"44","No"
"45","Yes"
"46","Yes"
"47","Yes"
"48","Yes"
"49","No"
"50","Yes"
"51","No"
"52","Yes"
"53","Yes"
"54","Yes"
"55","No"
"56","No"
"57","Yes"
"58","Yes"
"59","No"
"60","Yes"
"61","No"
"62","Yes"
"63","No"
"64","No"
"65","Yes"
"66","No"
"67","Yes"
"68","No"
"69","Yes"
"70","No"
"71","No"
"72","Yes"
"73","Yes"
"74","Yes"
"75","Yes"
"76","Yes"
"77","No"
"78","No"
"79","No"
"80","Yes"
"81","Yes"
"82","Yes"
"83","No"
"84","No"
"85","No"
"86","Yes"
"87","Yes"
"88","Yes"
"89","Yes"
"90","Yes"
"91","Yes"
"92","Yes"
"93","Yes"
"94","Yes"
"95","No"
"96","No"
"97","No"
"98","No"
"99","No"
"100","Yes"
"101","Yes"
"102","Yes"
"103","Yes"
"104","No"
"105","No"
"106","No"
"107","Yes"
"108","Yes"
"109","No"
"110","Yes"
"111","No"
"112","No"
"113","Yes"
"114","Yes"
"115","Yes"
"116","No"
"117","No"
"118","Yes"
"119","Yes"
"120","No"
"121","Yes"
"122","No"
"123","Yes"
"124","No"
"125","No"
"126","Yes"
"127","No"
"128","No"
"129","Yes"
"130","No"
"131","Yes"
"132","Yes"
"133","No"
"134","Yes"
"135","Yes"
"136","No"
"137","Yes"
"138","No"
"139","Yes"
"140","Yes"
"141","No"
"142","No"
"143","No"
"144","No"
"145","No"
"146","Yes"
"147","Yes"
"148","Yes"
"149","No"
"150","No"
"151","No"
"152","Yes"
"153","No"
"154","No"
"155","Yes"
"156","Yes"
"157","Yes"
"158","Yes"
"159","Yes"
"160","No"
"161","Yes"
"162","No"
"163","No"
"164","Yes"
"165","Yes"
"166","Yes"
"167","Yes"
"168","Yes"
"169","Yes"
"170","No"
"171","No"
"172","Yes"
"173","No"
"174","No"
"175","No"
"176","No"
"177","Yes"
"178","Yes"
"179","Yes"
"180","No"
"181","Yes"
"182","No"
"183","No"
"184","No"
"185","Yes"
"186","Yes"
"187","Yes"
"188","No"
"189","Yes"
"190","Yes"
"191","No"
"192","No"
"193","No"
"194","Yes"
"195","No"
"196","No"
"197","Yes"
"198","Yes"
"199","Yes"
"200","No"
"201","Yes"
"202","Yes"
"203","No"
"204","Yes"
"205","No"
"206","No"
"207","Yes"
"208","No"
"209","Yes"
"210","No"
"211","No"
"212","No"
"213","No"
"214","Yes"
"215","No"
"216","Yes"
"217","No"
"218","Yes"
"219","No"
"220","No"
"221","No"
"222","Yes"
"223","No"
"224","No"
"225","Yes"
"226","Yes"
"227","Yes"
"228","No"
"229","Yes"
"230","Yes"
"231","Yes"
"232","Yes"
"233","Yes"
"234","No"
"235","Yes"
"236","Yes"
"237","No"
"238","No"
"239","No"
"240","No"
"241","No"
"242","No"
"243","No"
"244","No"
"245","No"
"246","No"
"247","Yes"
"248","Yes"
"249","No"
"250","Yes"
"251","Yes"
"252","Yes"
"253","Yes"
"254","No"
"255","Yes"
"256","Yes"
"257","No"
"258","No"
"259","No"
"260","Yes"
"261","No"
"262","No"
"263","Yes"
"264","Yes"
"265","No"
"266","No"
"267","Yes"
"268","No"
"269","No"
"270","No"
"271","Yes"
"272","No"
"273","Yes"
"274","No"
"275","Yes"
"276","Yes"
"277","No"
"278","No"
"279","No"
"280","Yes"
"281","Yes"
"282","Yes"
"283","No"
"284","Yes"
"285","Yes"
"286","Yes"
"287","No"
"288","Yes"
"289","Yes"
"290","Yes"
"291","Yes"
"292","No"
"293","Yes"
"294","No"
"295","No"
"296","Yes"
"297","No"
"298","No"
"299","No"
"300","No"
"301","No"
"302","Yes"
"303","No"
"304","No"
"305","No"
"306","Yes"
"307","No"
"308","Yes"
"309","No"
"310","Yes"
"311","No"
"312","No"
"313","Yes"
"314","Yes"
"315","No"
"316","Yes"
"317","Yes"
"318","Yes"
"319","Yes"
"320","No"
"321","No"
"322","No"
"323","Yes"
"324","No"
"325","Yes"
"326","No"
"327","No"
"328","No"
"329","Yes"
"330","No"
"331","No"
"332","Yes"
"333","No"
"334","Yes"
"335","Yes"
"336","No"
"337","Yes"
"338","Yes"
"339","Yes"
"340","Yes"
"341","Yes"
"342","Yes"
"343","No"
"344","No"
"345","Yes"
"346","No"
"347","No"
"348","Yes"
"349","No"
"350","No"
"351","No"
"352","No"
"353","Yes"
"354","Yes"
"355","Yes"
"356","Yes"
"357","No"
"358","Yes"
"359","Yes"
"360","No"
"361","No"
"362","Yes"
"363","No"
"364","No"
"365","No"
"366","Yes"
"367","No"
"368","Yes"
"369","No"
"370","No"
"371","No"
"372","Yes"
"373","Yes"
"374","No"
"375","Yes"
"376","Yes"
"377","No"
